"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19477259","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868602","","114.15","1","2881772","368866816","MNB_04849","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477258","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868601","","35.96","1","889626","113872128","MNB_04815","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477257","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868600","","70.15","1","1758192","225048576","MNB_04801","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477256","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868599","","44.44","1","1114206","142618368","MNB_04517","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477255","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868598","","42.74","1","1063368","136111104","MNB_04516","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477254","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868597","","120.98","1","3022185","386839680","MNB_04437","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477253","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868595","","75.36","1","1873837","239851136","MNB_04259","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477252","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868596","","45.14","1","1117084","142986752","MNB_04258","RAD-Seq","GENOMIC","Reduced Representation"
"SRX10613808","Hi-C of Agapostemon virescens DNA Zoo Sample4111","Agapostemon virescens","HiSeq X Ten","Baylor College of Medicine","SRP175152","DNA Zoo","SRS8711626","","30168.79","1","252772980","75831894000","HIC5266","Hi-C","GENOMIC","RANDOM"
"SRX10469756","miRNA-seq of Agapostemon virescens: adult female brain","Agapostemon virescens","Illumina HiSeq 2500","Princeton University","SRP312629","Bee microRNA sequencing (Halictidae, brains)","SRS8599905","","518.28","1","16931218","1269841350","AVIR","miRNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8839918","RNA seq of Agapostemon  virescens female Dufour's gland","Agapostemon virescens","Illumina HiSeq 4000","Cornell University","SRP273977","Comparative transcriptomics of pheromone biosynthesis and chemoreception among the halictid sweat bees.","SRS7103152","","3101.3","1","23609975","7082992500","51","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8839917","RNA seq  of Agapostemon virescens female Antennae","Agapostemon virescens","Illumina HiSeq 4000","Cornell University","SRP273977","Comparative transcriptomics of pheromone biosynthesis and chemoreception among the halictid sweat bees.","SRS7103151","","1292.53","1","9702972","2910891600","65A","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7954728","10x linked-reads of Agapostemon virescens","Agapostemon virescens","HiSeq X Ten","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340986","","40974.14","1","287812937","86919506974","link_BER7-C5_HT","Synthetic-Long-Read","GENOMIC","RANDOM"
"SRX7954727","WGS of adult Agapostemon virescens","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340985","","2208.47","1","27841243","5623931086","dna_BER7-C2T","WGS","GENOMIC","RANDOM"
"SRX7954726","WGS of adult Agapostemon virescens","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340984","","2379.46","1","30208311","6102078822","dna_BER7-C1T","WGS","GENOMIC","RANDOM"
"SRX7954722","WGS of adult Agapostemon virescens","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340980","","2471.69","1","30475938","6156139476","dna_BER7-B12T","WGS","GENOMIC","RANDOM"
"SRX7954721","WGS of adult Agapostemon virescens","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340979","","2227.88","1","28074419","5671032638","dna_BER7-B11T","WGS","GENOMIC","RANDOM"
"SRX7954720","RNAseq of Agapostemon virescens head","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340978","","1416.49","1","16638831","3361043862","rna_BER7-B11_head","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX7954718","RNAseq of Agapostemon virescens antennae","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340976","","1764.33","1","22456139","4536140078","rna_BER7-B11_ant","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX7954717","RNAseq of Agapostemon virescens abdomen","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340975","","1650.32","1","21002702","4242545804","rna_BER7-B11_abd","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX7954716","WGS of adult Agapostemon virescens","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340974","","2485.79","1","31302283","6323061166","dna_BER7-B10T","WGS","GENOMIC","RANDOM"
"SRX7954710","WGS of adult Agapostemon virescens","Agapostemon virescens","Illumina HiSeq 4000","Princeton University","SRP253371","Genomics of social evolution in halictid bees","SRS6340968","","2233.44","1","28957491","5849413182","dna_BER3-E9T","WGS","GENOMIC","RANDOM"
"SRX7657814","RDO 5","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086796","","29.83","1","74866","45069332","190-162","AMPLICON","METAGENOMIC","PCR"
"SRX7657808","RDO 4","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086803","","34.49","1","86640","52157280","183-156","AMPLICON","METAGENOMIC","PCR"
"SRX7657804","RDO 4","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086801","","37.11","1","93127","56062454","179-152","AMPLICON","METAGENOMIC","PCR"
"SRX7657799","RDO 3","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086788","","7.26","1","18240","10980480","175-148","AMPLICON","METAGENOMIC","PCR"
"SRX7657796","RDO 3","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086778","","2.62","1","6142","3697484","171-144","AMPLICON","METAGENOMIC","PCR"
"SRX7657789","RDO 2","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086783","","43.92","1","112439","67688278","165-138","AMPLICON","METAGENOMIC","PCR"
"SRX7657788","RDO 2","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086771","","33.26","1","85285","51341570","164-137","AMPLICON","METAGENOMIC","PCR"
"SRX7657696","RDO 5","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086681","","29.25","1","79702","47980604","565-478","AMPLICON","METAGENOMIC","PCR"
"SRX7657690","RDO 4","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086676","","29.92","1","82396","49602392","559-472","AMPLICON","METAGENOMIC","PCR"
"SRX7657689","RDO 4","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086672","","26.56","1","72428","43601656","558-471","AMPLICON","METAGENOMIC","PCR"
"SRX7657671","RDO 2","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086655","","18.34","1","48325","29091650","543-456","AMPLICON","METAGENOMIC","PCR"
"SRX7657656","RDO 1","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086644","","26.64","1","73825","44442650","529-442","AMPLICON","METAGENOMIC","PCR"
"SRX7657594","RDO 7","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086580","","34.03","1","92603","55747006","447-381","AMPLICON","METAGENOMIC","PCR"
"SRX7657581","RDO 5","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086567","","38.87","1","102338","61607476","435-369","AMPLICON","METAGENOMIC","PCR"
"SRX7657579","RDO 5","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086565","","30.86","1","83219","50097838","433-367","AMPLICON","METAGENOMIC","PCR"
"SRX7657571","RDO 4","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086555","","22.38","1","60830","36619660","426-360","AMPLICON","METAGENOMIC","PCR"
"SRX7657559","RDO 3","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086545","","38.84","1","101368","61023536","416-350","AMPLICON","METAGENOMIC","PCR"
"SRX7657558","RDO 2","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086544","","44.29","1","119828","72136456","415-349","AMPLICON","METAGENOMIC","PCR"
"SRX7657556","RDO 2","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086541","","43.84","1","118658","71432116","413-347","AMPLICON","METAGENOMIC","PCR"
"SRX7657549","RDO 1","plant metagenome","Illumina MiSeq","Oregon State University HAREC","SRP246359","DNA metabarcoding of native bee pollen loads","SRS6086534","","5.22","1","13630","8205260","408-342","AMPLICON","METAGENOMIC","PCR"
"SRX4526093","Raw MiSeq Reads of Lactobacillus micheneri genome","Apilactobacillus micheneri","Illumina MiSeq","University of California, Riverside","SRP156976","Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus","SRS3644049","","210.51","1","594459","342095867","L. micheneri HV_21","WGA","GENOMIC","RANDOM"
"SRX4526090","Raw MiSeq Reads of Lactobacillus timberlakei genome","Apilactobacillus timberlakei","Illumina MiSeq","University of California, Riverside","SRP156976","Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus","SRS3644046","","62.37","1","167866","96001792","L. timberlakei HV_02","WGA","GENOMIC","RANDOM"
"SRX4526087","Raw MiSeq Reads of Lactobacillus timberlakei genome","Apilactobacillus timberlakei","Illumina MiSeq","University of California, Riverside","SRP156976","Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus","SRS3644043","","66.12","1","178194","95365139","L. timberlakei HV_09","WGA","GENOMIC","RANDOM"
"SRX4526085","Raw MiSeq Reads of Lactobacillus timberlakei genome","Apilactobacillus timberlakei","Illumina MiSeq","University of California, Riverside","SRP156976","Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus","SRS3644041","","263.05","1","730413","420220673","L. timberlakei HV_28","WGA","GENOMIC","RANDOM"
"SRX4526083","Raw MiSeq Reads of Lactobacillus timberlakei genome","Apilactobacillus timberlakei","Illumina MiSeq","University of California, Riverside","SRP156976","Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus","SRS3644066","","270.82","1","754296","432554174","L. timberlakei HV_26","WGA","GENOMIC","RANDOM"
"SRX4041972","UCE target enrichment of Agapostemon-sericeus-HC57: adult body/tissue.","Agapostemon sericeus","Illumina HiSeq 2500","USDA-ARS","SRP144610","Agriculturally dominated landscapes reduce bee phylogenetic diversity and pollination services","SRS3259441","","131.26","1","1053146","263286500","Agapostemon-sericeus-HC57","WGS","GENOMIC","Hybrid Selection"
"SRX4041971","UCE target enrichment of Agapostemon-virescens-HC59: adult body/tissue.","Agapostemon virescens","Illumina HiSeq 2500","USDA-ARS","SRP144610","Agriculturally dominated landscapes reduce bee phylogenetic diversity and pollination services","SRS3259440","","113.64","1","936199","234049750","Agapostemon-virescens-HC59","WGS","GENOMIC","Hybrid Selection"
"SRX2698630","UCE target enrichment of Agapostemon_tyleri_BND222: whole organism","Agapostemon tyleri","Illumina HiSeq 2500","University of Utah","SRP102873","Phylogenomic insights into the evolution of stinging wasps and the origins of ants and bees","SRS2092946","","171.52","1","975853","292755900","Agapostemon_tyleri_BND222","WGA","GENOMIC","Hybrid Selection"
"SRX2656369","Illumina library of rbcL and ITS2 amplicons: FL346","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059908","","14.4","1","38200","22996400","FL346","AMPLICON","METAGENOMIC","PCR"
"SRX2656286","Illumina library of rbcL and ITS2 amplicons: FL76","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059844","","1.75","1","3633","2187066","FL76","AMPLICON","METAGENOMIC","PCR"
"SRX2656099","Illumina library of rbcL and ITS2 amplicons: FL77","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059725","","11.33","1","30884","18592168","FL77","AMPLICON","METAGENOMIC","PCR"
"SRX2656098","Illumina library of rbcL and ITS2 amplicons: FL173","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059724","","13.23","1","34167","20568534","FL173","AMPLICON","METAGENOMIC","PCR"
"SRX2656097","Illumina library of rbcL and ITS2 amplicons: FL174","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059723","","7.56","1","18445","11103890","FL174","AMPLICON","METAGENOMIC","PCR"
"SRX2656069","Illumina library of rbcL and ITS2 amplicons: FL511","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059702","","21.5","1","57785","34786570","FL511","AMPLICON","METAGENOMIC","PCR"
"SRX2656041","Illumina library of rbcL and ITS2 amplicons: FL80","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059685","","5.02","1","12835","7726670","FL80","AMPLICON","METAGENOMIC","PCR"
"SRX2655994","Illumina library of rbcL and ITS2 amplicons: FL118","pollen metagenome","Illumina MiSeq","Emory University","SRP102172","Pollen samples taken from bees Raw sequence reads","SRS2059654","","8.62","1","23413","14094626","FL118","AMPLICON","METAGENOMIC","PCR"
